Calculate Subcontracts (Elfo);Calculate Subcontracts (Elfo);Fremdarbeit berechnen
Processing Work Centers   #1##########\;Processing Work Centers   #1##########\;Arbeitsplatzgruppen werden durchgelesen #1##########\
Processing Orders         #2########## ;Processing Orders         #2########## ;Fertigungsaufträge werden durchgelesen  #2########## 
Capacity Task List Elfo;Capacity Task List Elfo;Auftragsvorratsliste Elfo
Capacity Task List (%1);Capacity Task List (%1);Kapazitätsliste (%1)
Page;Page;Seite
Period: %1..%2;Period: %1..%2;Periode: %1..%2
finished PO;finished PO;beendete FA
planned and released PO;planned and released PO;geplante und freigegebene FA
released PO;released PO;freigegebene FA
%1 Sample Orders;%1 Sample Orders;%1 Musteraufträge
Qty.;Qty.;Menge
Setup Time;Setup Time;Rüst Zeit
Tool No.;Tool No.;WZ Nr.
Tool Use;Tool Use;WZ Einsatz
Totals;Totals;Summen
Period Length;Period Length;Periodenlänge
Sample Orders;Sample Orders;Musteraufträge
List Type;List Type;Listentyp
Create Item Jornal;Create Item Jornal;Item Journal erstellen
Disposal List by Periode;Disposal List by Periode;Dispositionsliste nach Periode
Delivery Date;Delivery Date;Liefer Termin
Item;Item;Artikel
Disposiallist by Periode;Disposiallist by Periode;Dispositionsliste nach Periode
Startdate;Startdate;Startdatum
Fixed Asset - Book Value Elfo;Fixed Asset - Book Value Elfo;Anlagen Buchwerte
FA Depreciation Book 1 is missing;FA Depreciation Book 1 is missing;Bitte Abschreibungsbuch 1 auswählen ! 
FA Depreciation Book 2 is missing;FA Depreciation Book 2 is missing;Bitte Abschreibungsbuch 2 auswählen !
Date is missing!;Date is missing!;Bitte per Datum angeben!
Acquisition Cost;Acquisition Cost;Anschaffungswert
Book Value  ;Book Value  ;Buchwert 
Kostenstelle Code;Kostenstelle Code;Kostenstelle Code
Inactive;Inactive;Inaktiv
Site:;Site:;Seite:
FA Subclass Code;FA Subclass Code;Anlagen- Sachgruppen
Fixed Asset Book Value  complete;Fixed Asset Book Value  complete;Anlagen Buchwerte  
Depreciation Book 1;Depreciation Book 1;Abschreibungsbuch 1
Depreciation Book 2;Depreciation Book 2;Abschreibungsbuch 2
Book value per:;Book value per:;Buchwert per:
Fixed Asset Schedule;Fixed Asset Schedule;Anlagenspiegel (Elfo)
Bitte Abschreibungsbuch angeben ! ;Bitte Abschreibungsbuch angeben ! ;Bitte Abschreibungsbuch auswählen ! 
Statistik wird aufbereitet. Anzahl Datensätze: ###1####;Statistik wird aufbereitet. Anzahl Datensätze: ###1####;Statistik wird aufbereitet. Anzahl Datensätze: ###1####
missing;missing;n.vorh.
FA Class Code;FA Class Code;Anl.Klasse /
Cost Center /;Cost Center /;Kostenstelle /
Geben Sie bitte ein Start- und Enddatum ein!;Geben Sie bitte ein Start- und Enddatum ein!;Geben Sie bitte ein Start- und Enddatum ein!
Enddatum sollte später als Startdatum sein!;Enddatum sollte später als Startdatum sein!;Enddatum sollte später als Startdatum sein!
Cost Center, FA No.;Cost Center, FA No.;Kostenstelle, Anlagen Nr.
Fa Class Code, FA Posting Group, FA Subclass Code ;Fa Class Code, FA Posting Group, FA Subclass Code ;Anlagenklassen Code, Buchungsgruppe, Sachgruppe
mit Detail;mit Detail;mit Detail
ohne Detail;ohne Detail;ohne Detail
Abschreib.;Abschreib.;Abschreib.
Access;Access;Zugänge
AW Brutto;AW Brutto;AW Brutto
befor;befor;vor
Movement;Movement;Bewegung
BI;BI;BI
booking- gruppe;booking- gruppe;Buch- gruppe
Depreciation Book;Depreciation Book;Abschreibungsbuch
ER;ER;ER
FA-No.  ;FA-No.  ;Anlage-Nr. 
Fixed Assets ;Fixed Assets ;Anlagevermögen
Functionalgruppe;Functionalgruppe;Sach- gruppe
Kum. WB;Kum. WB;Kum. WB
Outflow;Outflow;Abgänge
per;per;per
Recivery Value;Recivery Value;Restwert
Search-Description;Search-Description;Kurzbezeichnung
Sort:;Sort:;Sortierung:
FA-Overview;FA-Overview;Anlagenspiegel
with Details;with Details;Details je Anlage drucken
Enddate;Enddate;Enddatum
Sort;Sort;Sortierung
Import HL Bins;Import HL Bins;Import HL Bins
Import Excel File ;Import Excel File ;Excel-Datei importieren 
Excel File Name;Excel File Name;Name der Excel-Datei
Excel Sheet Name;Excel Sheet Name;Name der Excel-Tabelle
Import Locations;Import Locations;Import Locations
Import SL Bins;Import SL Bins;[NAB: NOT TRANSLATED]
Item Account Sheet;Item Account Sheet;Artikel - Stammblatt
Production Order %1;Production Order %1;Artikelstammblatt %1
Production Order;Production Order;Artikelstammblatt
Extended Texts;Extended Texts;Zusatztexte
Lead Time;Lead Time;Vorlaufzeit
Vendor Item;Vendor Item;Kreditor Artikel
Additional Description;Additional Description;Zusatzbeschreibung
Attribute;Attribute;Attribute
Base;Base;Basis
Purch;Purch;Eink
Box;Box;Box
Transport;Transport;Transport
Shipping Type;Shipping Type;Versandform
Unit of;Unit of;Einheit
Resources;Resources;Betriebsmittel
Qlty. Meas.;Qlty. Meas.;Qual. Mst.
BM;BM;BM
  st  ;  st  ;  st  
                rt                ;                rt                ;                rt                
Testplan;Testplan;Prüfplan
Units;Units;Einheiten
Forward copy to PPS;Forward copy to PPS;Kopie weiterleiten an PPS
EMPB-Creation Date;EMPB-Creation Date;EMPB-Erstelldatum
EMPB-No.;EMPB-No.;EMPB-Nr.
EMPB (Test Report);EMPB (Test Report);EMPB (Prüfbericht)
External from Cust;External from Cust;Extern von Kunden
Internal from QM;Internal from QM;Intern von QS
Original for filing;Original for filing;Original zur Ablage
Plastic Forming;Plastic Forming;Kunststoffforming
Project Manager;Project Manager;Projektleiter
Qlty Meas Management;Qlty Meas Management;Qualitätsmanagement
Technic;Technic;Technik
0-Serie Management;0-Serie Management;0-Serie Verwaltung
0-Serie Release;0-Serie Release;0-Serie Freigabe
Item Net Change Perio;Item Net Change Perio;Artikel Bewegungen
Item Net Change;Item Net Change;Artikel Bewegungen
Consum.;Consum.;Verbrauch
Movement in the periode;Movement in the periode;Bewegungen in der Periode
here of;here of;davon
Storage;Storage;Lager
Neg. Adjmt.;Neg. Adjmt.;Abgang
Pos. Adjmt.;Pos. Adjmt.;Zugang
Quarant.;Quarant.;Sperrlager
UoM;UoM;Einh
Show Item Ledger Entry;Show Item Ledger Entry;Incl. Lagerposten
Prod Value Analysis;Prod Value Analysis;Fertigungswert Analyse
... davon Gutteile;... davon Gutteile;... davon Gutteile
... davon Ausschuss;... davon Ausschuss;... davon Ausschuss
... davon Anfahr- & Musterteile;... davon Anfahr- & Musterteile;... davon Anfahr- & Musterteile
Total Item Productionvalue;Total Item Productionvalue;Total Artikel - Fertigungswert
Scrap Qty.;Scrap Qty.;Ausschuss Menge
Nur positive Fertigungen;Nur positive Fertigungen;Nur positive Fertigungen
Prod. Order List Elfo;Prod. Order List Elfo;FA-List Elfo
Confirmation Date;Confirmation Date;Bestätigungs Datum
End date;End date;End Datum
Responsible;Responsible;Verant.
End Datum;End Datum;Start Datum
Prod. Order List;Prod. Order List;FA-List
Prod. Order WiP WZB;Prod. Order WiP WZB;FA-Angefangene Arbeiten
Already calculated;Already calculated;Bereits Verechnet
Order Total;Order Total;Auftrag Summe
St;St;St
Prod. Order Started work;Prod. Order Started work;FA-Angefangene Arbeiten
Total:;Total:;Total:
Total at Work;Total at Work;Summe in Arbeit
Prod. Capacity List WZB;Prod. Capacity List WZB;Kapazitätsplanung (Ampel)
Filters;Filters;Filter
after;after;nach
Period:;Period:;Period:
Start date:;Start date:;Startdatum:
Total capacity per period:;Total capacity per period:;Total Kapazität pro Periode:
Startingdate;Startingdate;Startdatum
Tag;Tag;Tag
ProdOrd - Invoicing.WZB;ProdOrd - Invoicing.WZB;Auftragsabrechnung
Prod. Order - Job Card;Prod. Order - Job Card;Fertigungsauftrag
Alternative No.;Alternative No.;Alternativnr.
No Company Setup found;No Company Setup found;Keine Firmen Einrichtung gefunden
%1 / %2 ;%1 / %2 ;%1 / %2 
Production parts list;Production parts list;Fertigungsstückliste
Routing Plan;Routing Plan;Arbeitsplan
Sample Order;Sample Order;Musterauftrag
Date / Visa: ;Date / Visa: ;Datum / Visum: 
Packing Instructions (customer-specific);Packing Instructions (customer-specific);Verpackungsvorschriften (Kundenspezifisch)
Packing Instructions;Packing Instructions;Verpackungsvorschriften
Expc. Qty.;Expc. Qty.;Verbr. Menge
UOM;UOM;Einheit
Instruction;Instruction;Anweisung
QM;QM;PP
HAG;HAG;HAG
RT;RT;TE
ST;ST;TR
Meas Accur;Meas Accur;Prüfschärfe
Meas Basic;Meas Basic;Nennmass
Meas Place;Meas Place;Prüfort
Meas Tool;Meas Tool;Prüfmittel
Tested (Date / Visa);Tested (Date / Visa);Getestet (Datum / Visum)
Quality Measure;Quality Measure;Prüfplan
Location;Location;Lagerort
Traynr.;Traynr.;Fachzahl
Reference;Reference;Referenz
Ship Type;Ship Type;Versandform
Prod. Order finished: ;Prod. Order finished: ;Fertigungsauftrag fertig: 
Doc No.;Doc No.;Dok Nr.
Customerdata;Customerdata;Kundendaten
ProdOrd - Statuslist.WZB;ProdOrd - Statuslist.WZB;FA Statusübersicht
Draw No. %1;Draw No. %1;Zeichhnungsnr. %1
%1 %2 with Quantity %3;%1 %2 with Quantity %3;%1 %2 mit Menge %3
Components:;Components:;Komponenten:
Operation Status;Operation Status;Arbeitsgangstatus
Operation;Operation;Arbeitsgang
Remaining Quantity;Remaining Quantity;Restmenge
Prod. Order Status overview;Prod. Order Status overview;FA-Statusübersicht
ProdOrder - PoolList.WZB;ProdOrder - PoolList.WZB;FA Pool Liste Elfo
 ,planned,inProgress,finished,none; ,planned,inProgress,finished,none; ,plan,bearb,beendet,keiner
 ,Planned,Processing,Finished; ,Planned,Processing,Finished;,Geplant,Bearb.,Beendet
Prev. Rtng;Prev. Rtng;Vorher. AG
Amount planed;Amount planed;Menge geplant
Rtng Link Status;Rtng Link Status;Elek- trode
Routing Status;Routing Status;Status
Time planed;Time planed;Zeit geplant
incl. Comments;incl. Comments;inkl. Bemerkungen
Prod. Order Job Card;Prod. Order Job Card;FA-Arbeitsschein
OP No.;OP No.;AG Nr.
Item No;Item No;Artikel-Nr.
Componends needed;Componends needed;Benötigte Komponenten
Operation completed (Dat./Vis.);Operation completed (Dat./Vis.);Arbeitsgang beendet (Dat./Vis.)
Drawing No.:;Drawing No.:;Zeichnungs Nr.:
Item:;Item:;Artikel:
Material:;Material:;Material:
Responsible:;Responsible:;Verantwortlich:
State:;State:;Status:
expect prod time in h;expect prod time in h;erw. Bearbeitungszeit in h
Quantity:;Quantity:;Menge:
Quantity Produced;Quantity Produced;Menge fertiggestellt
expect setup time in h;expect setup time in h;erw. Rüstzeit in h
Start date;Start date;Startdatum
Sales - ShipDelay;Sales - ShipDelay;Verkauf Lieferverzug
Customer Filters:;Customer Filters:;Berichtsanforderung:
All amounts in LCY;All amounts in LCY;Alle Beträge in CHF
Tolerated delay %1 days;Tolerated delay %1 days;Karenzfrist %1 Tage
Summary;Summary;Zusammenfassung
W I T H O U T delay;W I T H O U T delay;O H N E  Lieferverzug
Delivery B E F O R E confirmed delivery date;Delivery B E F O R E confirmed delivery date;Lieferung  V O R  zugesagtem Liefertermin
Delivery A F T E R confirmed delivery date;Delivery A F T E R confirmed delivery date;Lieferung  N A C H  zugesagtem Liefertermin
Total I N C L U D I N G delay;Total I N C L U D I N G delay;Gesamt  M I T  Lieferverzug
T O T A L shipments;T O T A L shipments;T O T A L  Lieferungen
complete;complete;erfolgt
confirmed;confirmed;zugesagt
Contract;Contract;Rahmen Auftrag
100.0;100.0;100.0
%;%;%
Report No.;Report No.;Beleg Nr.
Shipping Delay;Shipping Delay;Liefer Verzug
Shipping Value;Shipping Value;Lieferwert
Ship Delay;Ship Delay;Lieferverzug
Only lines with delay (+/-);Only lines with delay (+/-);Nur Zeilen mit Lieferverzug
Order origin;Order origin;Auftrag Herkunft
 ,Elfo order,WZB order; ,Elfo order,WZB order; ,Elfo Auftrag,WZB Auftrag
Tolerated delay in days;Tolerated delay in days;Karenztage für Lieferverzug
Sales - Delivery Note;Sales - Delivery Note;Lieferschein (elfo)
Account No.;Account No.;Kontonr.
Allow Invoice Discount;Allow Invoice Discount;Rechnungsrabatt zulassen
Bank;Bank;Bankkonto
Discount %;Discount %;Rabatt %
Giro No.;Giro No.;Postgirokontonr.
G/L Account No.;G/L Account No.;Fibukontonr.
Header Dimensions;Header Dimensions;Kopfdimensionen
Invoice Discount Base Amount;Invoice Discount Base Amount;Rechnungsrab.-Bem.grundlage
Line Dimensions;Line Dimensions;Zeilendimensionen
Account;Account;Konto
Refers to Document;Refers to Document;Ausgleich mit Beleg
Bank Information;Bank Information;Bankinformationen
Continued;Continued;Fortsetzung
Order Address;Order Address;Bestelladresse
Payment Terms;Payment Terms;Zahlungsbedingungen
Salesperson;Salesperson;Verkäufer
Shipping Conditions;Shipping Conditions;Lieferbedingungen
Shipping Date;Shipping Date;Lieferdatum
Payment Discount on VAT;Payment Discount on VAT;Skonto auf MWST
Prepayment Specification;Prepayment Specification;Vorauszahlung - Spezifikation
Prepayment VAT Amount Specification;Prepayment VAT Amount Specification;Vorauszahlung MWST-Betrag - Spezifikation
Prepmt. Payment Terms;Prepmt. Payment Terms;Vorausz. - Zahlungsbedingungen
Reg.No.;Reg.No.;Reg-Nr.
Shipment Method;Shipment Method;Lieferbedingung
Subtotal;Subtotal;Zw.summe
Sales - Shipment %1;Sales - Shipment %1;Lieferschein %1
VAT Amount Specification in ;VAT Amount Specification in ;MWST-Betrag Spezifikation in 
Local Currency;Local Currency;Landeswährung
Exchange rate: %1/%2;Exchange rate: %1/%2;Wechselkurs: %1/%2
VAT Amount;VAT Amount;MWST-Betrag
VAT Amount Specification;VAT Amount Specification;MWST-Betrag - Spezifikation
VAT Base;VAT Base;MWST Basis
Sales Order;Sales Order;Verkaufsauftrag
Specifies if the document is archived after you print it.;Specifies if the document is archived after you print it.;Gibt an, ob der Beleg nach dem Drucken archiviert wird.
Archive Document;Archive Document;Beleg archivieren
Specifies that interactions with the contact are logged.;Specifies that interactions with the contact are logged.;Legt fest, dass Aktivitäten mit dem Kontakt protokolliert werden.
Log Interaction;Log Interaction;Aktivität protokollieren
Specifies how many copies of the document to print.;Specifies how many copies of the document to print.;Gibt an, wie viele Kopien des Belegs gedruckt werden sollen.
Specifies if you want the report to include information about components that were used in linked assembly orders that supplied the item(s) being sold.;Specifies if you want the report to include information about components that were used in linked assembly orders that supplied the item(s) being sold.;Gibt an, ob der Bericht Informationen zu Komponenten enthalten soll, die in verknüpften Montageaufträgen verwendet wurden, die den/die verkauften Artikel bereitstellten.
Show Assembly Components;Show Assembly Components;Montagekomponenten anzeigen
Specifies if you want the printed report to show information that is only for internal use.;Specifies if you want the printed report to show information that is only for internal use.;Gibt an, ob der gedruckte Bericht Informationen anzeigen soll, die nur für die interne Verwendung sind.
SalesHeader - Packinglist;SalesHeader - Packinglist;Packliste (elfo)
PACKLISTE  %1;PACKLISTE  %1;PACKLISTE  %1
Lieferadresse:;Lieferadresse:;Lieferadresse:
Mit  E A N - Code-Etiketten;Mit  E A N - Code-Etiketten;Mit  E A N - Code-Etiketten
Mit  U P C - Code-Etiketten;Mit  U P C - Code-Etiketten;Mit  U P C - Code-Etiketten
A C H T U N G:   Der Auftrag ist für Lieferung gesperrt. ;A C H T U N G:   Der Auftrag ist für Lieferung gesperrt. ;A C H T U N G:   Der Auftrag ist für Lieferung gesperrt. 
%1-Nr.;%1-Nr.;%1-Nr.
Box(es):;Box(es):;Box(en):
m3;m3;m3
Customer Order No.:;Customer Order No.:;Kunden Bestellnr.:
d  e  l  i  v  e  r  e  d;d  e  l  i  v  e  r  e  d;g  e  l  i  e  f  e  r  t
Description:;Description:;Beschreibung:
elfo Referenz:;elfo Referenz:;elfo Referenz:
EUR;EUR;EUR
EW;EW;EW
FA:;FA:;FA:
F  E  E  D  B  A  C  K;F  E  E  D  B  A  C  K;R  Ü  C  K  M  E  L  D  U  N  G
Gross:;Gross:;Brutto:
H:;H:;H:
kg;kg;kg
L:;L:;L:
Measurements:;Measurements:;Abmessungen
m;m;m
Net:;Net:;Netto:
Outstandig Quantity;Outstandig Quantity;Rest Menge
Packing:;Packing:;Verpackung:
P  A  C  K  I  N  G  -  G  U  I  D  E  L  I  N  E  S;P  A  C  K  I  N  G  -  G  U  I  D  E  L  I  N  E  S;V  E  R  P  A  C  K  U  N  G  S  -  V  O  R  S  C  H  R  I  F  T  E  N
Palett(s):;Palett(s):;Palette(n):
Pos. No.;Pos. No.;Pos. Nr.
[   ];[   ];[   ]
Quantity To Ship;Quantity To Ship;Menge zu liefern
Reference No.:;Reference No.:;Referenznr.:
Shipping adress:;Shipping adress:;Lieferadresse:
Shipping date;Shipping date;Liefer Termin
Shipping Type:;Shipping Type:;Versandart:
Unit;Unit;Einheit
V:;V:;V:
Weight:;Weight:;Gewicht:
W:;W:;B:
Tool Analysis;Tool Analysis;Werkzeug Analyse
%1 Analyse;%1 Analyse;%1 Analyse
Guaranteed Stroke Count;Guaranteed Stroke Count;Garantierte Hubzahl
Panel Number;Panel Number;Fach Zahl
% since;% since;% seit
Product Release;Product Release;Fertigung Gesamt
Commissioning;Commissioning;Inbetrieb-nahme
REV;REV;REV
Stroke Count since;Stroke Count since;Ist-Hubzahl seit
Usage;Usage;Betrieb
USG;USG;BET
Only positive manufacturings;Only positive manufacturings;Nur positive Fertigungen
Only guaranteed strokecount;Only guaranteed strokecount;Nur garantierte Hubzahlen
Vendor/Item-ABC Analysis;Vendor/Item-ABC Analysis;Kreditor / Artikel - ABC Analyse
prepare Statistic   #1##########;prepare Statistic   #1##########;Statistik vorbereiten  #1##########
evaluation type:;evaluation type:;Auswertungsart:
Value percentage is not 100!;Value percentage is not 100!;Total Wertanteil in Prozent ergibt nicht 100 !!
evaluation period:;evaluation period:;Auswertungszeitraum:
evaluation type: %1;evaluation type: %1;Auswertungsart: %1
Vendor / Item ABC Analysis;Vendor / Item ABC Analysis;Kreditor / Artikel ABC Analyse
Company Name;Company Name;Unternehmensname
Report Name;Report Name;Berichtsname:
All Amounts ar in LCY;All Amounts ar in LCY;Alle Berträge in MW 
ranking;ranking;Rangliste
purchase value vendor;purchase value vendor;Einkaufswert Lieferant
purchase value vendor %;purchase value vendor %;Einkaufswert Lieferant %
quantity;quantity;Menge
unity;unity;Einheit
purchase value vendor categorie;purchase value vendor categorie;Einkaufswert Total Kategorie
total % Category;total % Category;Total % Kategorie
Report Currency:;Report Currency:;Berichtswährung:
All amounts are in LCY;All amounts are in LCY;Alle Beträge in MW
Description ;Description ;Bezeichnung
Ranking;Ranking;Rang- Liste
Vendor/Item ABC Analyses;Vendor/Item ABC Analyses;Kreditor / Artikel ABC Analyse
Item/Vendor ABC Analysis;Item/Vendor ABC Analysis;Artikel/Lieferant ABC Analyse
classification A:;classification A:;Klassifizierung A:
classification B:;classification B:;Klassifizierung B:
classification C:;classification C:;Klassifizierung C:
Sorting;Sorting;Auswertungsart
Jede Verpackungseinheit ist mit unserer Artikelnummer, Bezeichnung und Menge zu versehen;Jede Verpackungseinheit ist mit unserer Artikelnummer, Bezeichnung und Menge zu versehen;[NAB: REVIEW]Jede Verpackungseinheit ist mit unserer Artikelnummer, Bezeichnung und Menge zu verstehen
Sales Delivery Note FO;Sales Delivery Note FO;Lieferschein (elfo)
outst. delivery;outst. delivery;Noch zu liefern
part-delivery;part-delivery;Teillieferung
"The ""%1"" includes %2 %3 for insurance.";"The ""%1"" includes %2 %3 for insurance.";"Die ""%1"" beinhaltet %2 %3 für die Versicherung."
"There are no lines with ""%1"".";"There are no lines with ""%1"".";"Es gibt keine Zeilen mit ""%1""."
"The ""Work date"" is set to the ""%1"".\\ Is this OK ??";"The ""Work date"" is set to the ""%1"".\\ Is this OK ??";"Das ""Arbeitsdatum"" ist auf ""%1"" gesetzt.\\ Ist das OK ??"
Order Confirmation FO;Order Confirmation FO;Verkauf - Auftragsbestätigung FO
Order Credit Memo (elfo);Order Credit Memo (elfo);Gutschrift drucken
Sales Order Invoice;Sales Order Invoice;Rechnung drucken
In the current %1 are %2 orders assigned.\\The max. number is 8, please correct.;In the current %1 are %2 orders assigned.\\The max. number is 8, please correct.;Im aktuellen %1 sind %2 Aufträge erfasst.\\Das maximum ist 8, bitte korrigieren.
Proforma FO;Proforma FO;Proforma Rechnung FO
Import Scanner Item;Import Scanner Item;Import Scanner Spedi
Item variant documents;Item variant documents;Artikelvariante Dokumente
Show all;Show all;Alle anzeigen
Pictures;Pictures;Bilder
Debitor/Kreditor/Bankkonto;Debitor/Kreditor/Bankkonto;Debitor/Kreditor/Bankkonto
G/L Management;G/L Management;Fibu Verwaltung
Separator1100115024;Separator1100115024;[NAB: NOT TRANSLATED]
Elfo;Elfo;Elfo
Invoice &Discount;Invoice &Discount;&Rechnungsrabatte
Tool Construction;Tool Construction;WZB
Calcualtion;Calcualtion;Kallkulation
Orderaccount;Orderaccount;Auftragsabrechnung
&Print;&Print;D&rucken
Work Certificate;Work Certificate;Arbeitsschein
&Additional Costs;&Additional Costs;&Zusatzkosten
promised;promised;bestätigt
Tool Construction Prod. Order Routing;Tool Construction Prod. Order Routing;WZB FA-Zeile Arbeitsgänge
Beleg anzeigen;Beleg anzeigen;Beleg anzeigen
&Zeilen aktualisieren;&Zeilen aktualisieren;&Zeilen aktualisieren
Job Card;Job Card;Arbeitsschein
Calculation;Calculation;Kalkulation
Orderacoount;Orderacoount;Auftragsabrechnung
Status Overview;Status Overview;Statusübersicht
Current in CHF;Current in CHF;Aktuell in CHF
Entries;Entries;Posten
Ledger Entries;Ledger Entries;Posten
Phys. Inventory Ledger Entries;Phys. Inventory Ledger Entries;Inventurposten
Item Availability by Period;Item Availability by Period;Artikelverfügbarkeit per Periode
Manufacturing;Manufacturing;Produktion
Separator1100111023;Separator1100111023;[NAB: NOT TRANSLATED]
Separator1100111025;Separator1100111025;[NAB: NOT TRANSLATED]
Separator1100111030;Separator1100111030;[NAB: NOT TRANSLATED]
Separator1100111035;Separator1100111035;[NAB: NOT TRANSLATED]
Turnover;Turnover;Umsatz
Available;Available;Verfügbar
Available with Reorder Point;Available with Reorder Point;Verfügbarer Meldebestand
Locked Inventory;Locked Inventory;Gesperrter Bestand
Separator1100111026;Separator1100111026;[NAB: NOT TRANSLATED]
Separator1100111033;Separator1100111033;[NAB: NOT TRANSLATED]
Separator1100111034;Separator1100111034;[NAB: NOT TRANSLATED]
Gross Requirement;Gross Requirement;Brutto Bedarf
Projected Available Balance;Projected Available Balance;Max. Planbestand
Scheduled Receipt;Scheduled Receipt;Max. geplanter Zugang
Number of Bundle;Number of Bundle;Anzahl Gebinde
Bin Filter;Bin Filter;[NAB: NOT TRANSLATED]
View the packing instructions for this item;View the packing instructions for this item;Zeige die Verpackungsvorschriften für diesen Artikel an
Packing instructions;Packing instructions;Verpackungsvorschriften
Nr. of Alternative Production BOMs;Nr. of Alternative Production BOMs;Anz. von Alt. Fert.-Stücklisten
Nr. of Production BOMs;Nr. of Production BOMs;Anz. von Fert.-Stücklisten
Nr. of Alternative Routings;Nr. of Alternative Routings;Anz. Alternative Arbeitspläne
Nr. of Routings;Nr. of Routings;Anz. Arbeitspläne
WZB;WZB;WZB
elfo;elfo;elfo
Merkmal;Merkmal;Merkmal
Details;Details;Details
Item Ledger Entry Purchase;Item Ledger Entry Purchase;Einkaufs Artikelposten 
Item Ledger Entry Sales;Item Ledger Entry Sales;Verkaufs Artikelposten
Unit Amount;Unit Amount;Basispreis
Read last Upload;Read last Upload;Letzten Upload einlesen
Set Approach and sample parts;Set Approach and sample parts;Anfahrts- und Musterteile setzten
Approach and sample parts;Approach and sample parts;Anfahrts- und Musterteile
Scrap;Scrap;Ausschuss
Purchase Price;Purchase Price;Einkaufspreis
Separator1100115017;Separator1100115017;[NAB: NOT TRANSLATED]
Finished PO Component Lines;Finished PO Component Lines;Erledigte FA Komponenten
Finished Productionsorders;Finished Productionsorders;Erledigte Fertigungsaufträge
PO Component Lines;PO Component Lines;FA Komponenten
Productionorders;Productionorders;Fertigungsaufträge
Separator1100115022;Separator1100115022;[NAB: NOT TRANSLATED]
Separator1100115025;Separator1100115025;[NAB: NOT TRANSLATED]
Purchase Order Archiv;Purchase Order Archiv;Archivierte Bestellungen
Clear References;Clear References;Referenzenfilter löschen
Filter by References;Filter by References;[NAB: NOT TRANSLATED]
Consider Bundle;Consider Bundle;Gebinde berücksichtigen
Print Bundle Label;Print Bundle Label;[NAB: NOT TRANSLATED]
Finished Qty. on Prod. Order;Finished Qty. on Prod. Order;Fertiggem. in FA
ActionGroup1100111000;ActionGroup1100111000;[NAB: NOT TRANSLATED]
Outlook Sync. Exp. Schema;Outlook Sync. Exp. Schema;Outlook Sync. Exp. Schema
-;-;-
Job Task Card;Job Task Card;Projektaufgabenkarte
Job Task Ledger Entries;Job Task Ledger Entries;Projektaufgabenposten
Job Task Planning Lines;Job Task Planning Lines;Projektaufgaben-Planzeilen
Job Task Statistics;Job Task Statistics;Projektaufgabenstatistik
ToolConstruction;ToolConstruction;WZB
Split Planning Lines;Split Planning Lines;Planzeilen aufteilen
Change Dates;Change Dates;Datum wechseln
Create Sales Invoice;Create Sales Invoice;Verkaufsrechnung erstellen
Edit Planning Lines;Edit Planning Lines;Planzeilen bearbeiten
Indent Job Tasks;Indent Job Tasks;Projektaufgaben einrücken
Set available Location;Set available Location;Verfügbare Lagerorte aktualisieren
Where-Used in Routing;Where-Used in Routing;Verwendet in Arbeitsplan
Where-Used in Prod. Order;Where-Used in Prod. Order;Verwendet in FA
Articelorigin Filter;Articelorigin Filter;Artikelherkunft Filter
Critical;Critical;Kritisch
Show Demand as;Show Demand as;Datailplanung fr
Delivery Error;Delivery Error;Fehlermeldung
Quantity per;Quantity per;Komponenten Menge
Open the document that the selected line exists on.;Open the document that the selected line exists on.;Öffnet den Beleg, in dem die ausgewählte Zeile vorhanden ist.
Show Document (Elfo);Show Document (Elfo);Beleg anzeigen (Elfo)
Fremdarbeitsauftrag buchen;Fremdarbeitsauftrag buchen;Fremdarbeitsauftrag buchen
Lot Size;Lot Size;Menge je Bearbarbeitungszeit
Routing Line Vendor No.;Routing Line Vendor No.;Arbeitsgang Kreditoren Nr.
Print on Document.;Print on Document.;Drucken
PrintOnDoc;PrintOnDoc;Drucken
Tool Identifier.;Tool Identifier.;Werkzeug Kennzeichnung
Tool Ident;Tool Ident;Werkzeug Identität
Type of tool.;Type of tool.;Werkzeugart
The tool is locked.;The tool is locked.;Dieses Werkzeug ist gesperrt
Locked;Locked;Gesperrt
Stücklisten&version erstellen;Stücklisten&version erstellen;Stücklisten&version erstellen
Link Code;Link Code;Verbindungscode
Specifies how many units of the component are required to produce the parent item.;Specifies how many units of the component are required to produce the parent item.;Gibt an, wie viele Einheiten der Komponente benötigt werden, um den übergeordneten Artikel herzustellen.
Lookup Current Comment;Lookup Current Comment;Aktueller Kommentar anzeigen
For Release;For Release;Für Freigabe
Current Vendor Comment;Current Vendor Comment;Aktueller Lieferanten Kommentar
Print WZB Purchase Order;Print WZB Purchase Order;WZB Einkaufsbestellung drucken
Print Shipment;Print Shipment;Lieferschein drucken
Gebinde;Gebinde;Gebinde
Gebinde erstellen (ohne Etikette);Gebinde erstellen (ohne Etikette);Gebinde erstellen (ohne Etikette)
Project;Project;Projekt
New,Process,Report,Elfo;New,Process,Report,Elfo;Neu,Vorgang,Bericht,Elfo
&Arbeitsplanversion erstellen;&Arbeitsplanversion erstellen;&Arbeitsplanversion erstellen
0-Series;0-Series;0-Serie
Set 0-Series Status;Set 0-Series Status;0-Serienstatus setzen
Release External;Release External;Freigabe Extern
Release Internal;Release Internal;Freigabe Intern
Reset;Reset;Zurücksetzen
&Link Code;&Link Code;&Verbindungscode
